# Time series at grid cell: 100   1   1
  Time(day)                            pH           H+                     CO3--                  SO4--                  Cl-                    Ca++                   Mg++                   Na+                    K+                     Fe++                   Fe+++                  HS-                    CH3COO-                O2(aq)                 S(aq)                  Br-                    H+                     CO3--                  SO4--                  Cl-                    Ca++                   Mg++                   Na+                    K+                     Fe++                   Fe+++                  HS-                    CH3COO-                O2(aq)                 S(aq)                  Br-                    CH3COOH(aq)            CaOH+                  CaCH3COO+              CaHCO3+                CaCO3(aq)              CaSO4(aq)              H2CO3(aq)              HCO3-                  FeOH+                  FeCH3COO+              FeHCO3+                FeCO3(aq)              Fe(CO3)2--             FeSO4(aq)              FeCl+                  Fe(HS)2(aq)            Fe(HS)3-               H2S(aq)                S--                    KSO4-                  MgOH+                  MgCH3COO+              MgHCO3+                MgCO3(aq)              MgSO4(aq)              NaCH3COO(aq)           NaHCO3(aq)             NaCO3-                 NaSO4-                 HSO4-                  OH-                   
  6.70000E-07                7.99996144044329E+00   4.48720541003601E-04   4.61169626573667E-04   6.24999243144394E-02   1.69000000000043E-02   1.27928164897676E-02   1.85000000000477E-02   1.04000000000046E-01   5.12000000000130E-04   8.18110658981767E-17   5.60569036112263E-19   2.69236856538120E-16   9.99999976798919E-09   2.50000000000064E-08   2.01339479183453E-07   1.00000000000025E-03  -7.91123022203070E+00  -5.33211967253164E+00  -1.36713106468998E+00  -1.77211327077731E+00  -2.15134286632406E+00  -1.97262779729188E+00  -1.00871798456802E+00  -3.32532842475225E+00  -1.65674778446620E+01  -1.82513706358453E+01  -1.56997510499113E+01  -8.05119481381445E+00  -7.60205988575990E+00  -6.69607096615251E+00  -2.99999995833962E+00  -1.14354115497601E+01  -7.08478262207019E+00  -9.48192200120648E+00  -5.01323244485586E+00  -5.34352589859728E+00  -2.24253568542637E+00  -5.19672199406667E+00  -3.39896907800060E+00  -1.84009176004064E+01  -2.32580569795587E+01  -1.84293674231950E+01  -1.74096608769783E+01  -2.11325394216630E+01  -1.67186706637219E+01  -1.79187521306602E+01  -3.97777301605722E+01  -5.34257733787277E+01  -1.68665317238915E+01  -2.02539483257490E+01  -4.40664224893822E+00  -6.07995527080522E+00  -9.32585196630894E+00  -4.74716241012904E+00  -5.31745586380286E+00  -2.10646565056773E+00  -9.51368739841941E+00  -4.93499784213825E+00  -5.59478150751123E+00  -2.22379129423603E+00  -7.79038479637869E+00  -5.86149149654308E+00
  6.55390E-04                8.00016950516243E+00   4.48720540551176E-04   4.61174784541250E-04   6.24768792188078E-02   1.69000000089243E-02   1.27697765255086E-02   1.85000000097685E-02   1.04000000054915E-01   5.12000000270349E-04   4.61172562312675E-13   5.59725061064562E-19   1.51052427547709E-14   9.99976966314840E-09   2.50000000113474E-08   2.01339694670063E-07   1.00000000052803E-03  -7.91144054564149E+00  -5.33191111535986E+00  -1.36723899346266E+00  -1.77211327054836E+00  -2.15210036650596E+00  -1.97260315140107E+00  -1.00871339382029E+00  -3.32532242732630E+00  -1.26448556232212E+01  -1.82520249941461E+01  -1.38494874219658E+01  -8.05118299438467E+00  -7.60205988556289E+00  -6.69607050134133E+00  -2.99999995811041E+00  -1.14355993144187E+01  -7.08531832557554E+00  -9.48264846757722E+00  -5.01395010313740E+00  -5.34402639461306E+00  -2.24335019972339E+00  -5.19690095063601E+00  -3.39894881081205E+00  -1.44780735822891E+01  -1.93354037243068E+01  -1.45067053598539E+01  -1.34867816513714E+01  -1.72094537365547E+01  -1.27961054563963E+01  -1.39961085584118E+01  -3.21545442429504E+01  -4.39523261253141E+01  -1.50164663570653E+01  -1.84034932764817E+01  -4.40671457584991E+00  -6.07971021571501E+00  -9.32579780409131E+00  -4.74709943982222E+00  -5.31717573123027E+00  -2.10649953627638E+00  -9.51365666485668E+00  -4.93495830048633E+00  -5.59454299868681E+00  -2.22386680369284E+00  -7.79067936096324E+00  -5.86129023721696E+00
  2.29742E-02                8.00051535592443E+00   4.48720517030696E-04   4.61191442224429E-04   6.24653053055094E-02   1.69000000089563E-02   1.27582192619673E-02   1.85000000098041E-02   1.04000000055115E-01   5.12000000271334E-04   1.61171951898594E-11   5.58337688855665E-19   1.52843310662226E-14   9.99192880627654E-09   2.49999999278008E-08   2.01347535313124E-07   1.00000000052995E-03  -7.91178941131423E+00  -5.33157404635912E+00  -1.36730124079920E+00  -1.77211327055686E+00  -2.15249632793428E+00  -1.97260486585800E+00  -1.00871196514196E+00  -3.32532068630475E+00  -1.10766837860031E+01  -1.82531028019804E+01  -1.38443474104420E+01  -8.05151301824746E+00  -7.60205988701424E+00  -6.69605358921839E+00  -2.99999995810958E+00  -1.14362638720856E+01  -7.08535011058538E+00  -9.48334881066604E+00  -5.01430233398042E+00  -5.34402063451678E+00  -2.24374046308671E+00  -5.19721739605710E+00  -3.39893120325881E+00  -1.29095375686525E+01  -1.77675362687492E+01  -1.29384897920504E+01  -1.19182080926287E+01  -1.56405459075305E+01  -1.12279279211131E+01  -1.24279082284607E+01  -3.05760437530051E+01  -4.23686886820994E+01  -1.50116591139685E+01  -1.83980296250034E+01  -4.40673557527741E+00  -6.07934960527379E+00  -9.32610592521158E+00  -4.74705944869669E+00  -5.31677774916543E+00  -2.10649757767115E+00  -9.51396614570767E+00  -4.93491966909151E+00  -5.59417065670729E+00  -2.22389048517293E+00  -7.79105886239607E+00  -5.86095346837780E+00
  8.60172E-02                8.00051541852108E+00   4.48720450694885E-04   4.61191381720564E-04   6.24653053636951E-02   1.69000000090401E-02   1.27582192372869E-02   1.85000000098959E-02   1.04000000055631E-01   5.12000000273874E-04   6.03428326640959E-11   5.58337446884368E-19   1.52167843544169E-14   9.96981561289733E-09   2.49999995687147E-08   2.01351111499435E-07   1.00000000053491E-03  -7.91178947394262E+00  -5.33157404579384E+00  -1.36730124054529E+00  -1.77211327058103E+00  -2.15249632913726E+00  -1.97260486617589E+00  -1.00871196516715E+00  -3.32532068635387E+00  -1.05033464476560E+01  -1.82531029901941E+01  -1.38462709565620E+01  -8.05247522305028E+00  -7.60205989325221E+00  -6.69604587566896E+00  -2.99999995810742E+00  -1.14372261393659E+01  -7.08535004899879E+00  -9.48431101640190E+00  -5.01430239666197E+00  -5.34402063447388E+00  -2.24374046332051E+00  -5.19721752028313E+00  -3.39893126501239E+00  -1.23362001675158E+01  -1.71951611349349E+01  -1.23651525151819E+01  -1.13448707530357E+01  -1.50672085674017E+01  -1.06545905817968E+01  -1.18545708898378E+01  -3.00065535063861E+01  -4.18011219816326E+01  -1.50135827225475E+01  -1.83999531087606E+01  -4.40673557465673E+00  -6.07934954282160E+00  -9.32706813008367E+00  -4.74705951051446E+00  -5.31677774825876E+00  -2.10649757704117E+00  -9.51492835033446E+00  -4.93491973066400E+00  -5.59417065581092E+00  -2.22389048455326E+00  -7.79105892443777E+00  -5.86095340587676E+00
  1.95452E-01                8.00051552612932E+00   4.48720335907740E-04   4.61191276996389E-04   6.24653054936910E-02   1.69000000091855E-02   1.27582192238610E-02   1.85000000100551E-02   1.04000000056526E-01   5.12000000278280E-04   1.36871318742128E-10   5.58337032064570E-19   1.51002517456279E-14   9.93154990869383E-09   2.49999985192913E-08   2.01351111489893E-07   1.00000000054352E-03  -7.91178958153864E+00  -5.33157404495730E+00  -1.36730123969500E+00  -1.77211327062285E+00  -2.15249632972826E+00  -1.97260486627782E+00  -1.00871196518677E+00  -3.32532068640297E+00  -1.01476597550582E+01  -1.82531033128556E+01  -1.38496096479457E+01  -8.05414532022805E+00  -7.60205991148256E+00  -6.69604587568954E+00  -2.99999995810369E+00  -1.14388963441978E+01  -7.08534994205584E+00  -9.48598111427462E+00  -5.01430250423755E+00  -5.34402063449043E+00  -2.24374046333667E+00  -5.19721773481788E+00  -3.39893137189107E+00  -1.19805133673841E+01  -1.68411445396189E+01  -1.20094659295687E+01  -1.09891840598635E+01  -1.47115218733816E+01  -1.02989038886242E+01  -1.14988841973973E+01  -2.96575441967527E+01  -4.14554513633705E+01  -1.50169215215924E+01  -1.84032916924460E+01  -4.40673557401569E+00  -6.07934943538207E+00  -9.32873822745911E+00  -4.74705961759276E+00  -5.31677774777803E+00  -2.10649757656005E+00  -9.51659844760933E+00  -4.93491983764173E+00  -5.59417065513120E+00  -2.22389048387314E+00  -7.79105903131165E+00  -5.86095329823169E+00
  3.32443E-01                8.00051566025329E+00   4.48720192852345E-04   4.61191146482665E-04   6.24653056548907E-02   1.69000000093673E-02   1.27582192063157E-02   1.85000000102541E-02   1.04000000057645E-01   5.12000000283789E-04   2.32247190393402E-10   5.58336514971111E-19   1.49556419589007E-14   9.88385862273010E-09   2.49999964592972E-08   2.01351111480094E-07   1.00000000055428E-03  -7.91178971565078E+00  -5.33157404392919E+00  -1.36730123865323E+00  -1.77211327067495E+00  -2.15249633051877E+00  -1.97260486642874E+00  -1.00871196521258E+00  -3.32532068646618E+00  -9.91802168022038E+00  -1.82531037150696E+01  -1.38537887675815E+01  -8.05623582524396E+00  -7.60205994726832E+00  -6.69604587571068E+00  -2.99999995809901E+00  -1.14409869833821E+01  -7.08534980879430E+00  -9.48807162018168E+00  -5.01430263833000E+00  -5.34402063450655E+00  -2.24374046335205E+00  -5.19721800218757E+00  -3.39893150509048E+00  -1.17508751584942E+01  -1.66135969698976E+01  -1.17798279880328E+01  -1.07595459842513E+01  -1.44818837967303E+01  -1.00692658130112E+01  -1.12692461227234E+01  -2.94362643613775E+01  -4.12383506476192E+01  -1.50211007754036E+01  -1.84074706778707E+01  -4.40673557319218E+00  -6.07934930147367E+00  -9.33082873271863E+00  -4.74705975103767E+00  -5.31677774714661E+00  -2.10649757592790E+00  -9.51868895272607E+00  -4.93491997094385E+00  -5.59417065426171E+00  -2.22389048300292E+00  -7.79105916450608E+00  -5.86095316407208E+00
  9.85902E-01                8.00051629040576E+00   4.48719520746042E-04   4.61190533301556E-04   6.24653064119364E-02   1.69000000102317E-02   1.27582191235166E-02   1.85000000112002E-02   1.04000000062964E-01   5.12000000309973E-04   6.80360987949569E-10   5.58334085501684E-19   1.42854499320101E-14   9.65976158444323E-09   2.49999745669411E-08   2.01351111434917E-07   1.00000000060542E-03  -7.91179034574906E+00  -5.33157403910369E+00  -1.36730123376598E+00  -1.77211327091948E+00  -2.15249633425618E+00  -1.97260486714747E+00  -1.00871196533416E+00  -3.32532068676378E+00  -9.45123275329963E+00  -1.82531056048035E+01  -1.38736998632823E+01  -8.06619594383026E+00  -7.60206032757772E+00  -6.69604587580812E+00  -2.99999995807680E+00  -1.14509477323242E+01  -7.08534918270859E+00  -9.49803174296623E+00  -5.01430326833814E+00  -5.34402063458040E+00  -2.24374046342332E+00  -5.19721925835331E+00  -3.39893213089173E+00  -1.12840856017504E+01  -1.61567681620240E+01  -1.13130396873828E+01  -1.02927570536670E+01  -1.40150948612702E+01  -9.60247688242436E+00  -1.08024571965593E+01  -2.90092976267322E+01  -4.08312950086196E+01  -1.50410125014919E+01  -1.84273811430198E+01  -4.40673556931254E+00  -6.07934867233600E+00  -9.34078885244811E+00  -4.74706037799074E+00  -5.31677774416539E+00  -2.10649757294409E+00  -9.52864907177747E+00  -4.93492059721885E+00  -5.59417065016605E+00  -2.22389047890468E+00  -7.79105979028524E+00  -5.86095253375639E+00
  2.01584E+00                8.00051725375080E+00   4.48718493181384E-04   4.61189595827901E-04   6.24653075737656E-02   1.69000000115851E-02   1.27582190011379E-02   1.85000000126818E-02   1.04000000071292E-01   5.12000000350977E-04   1.36552027153505E-09   5.58330371774549E-19   1.32902276339927E-14   9.31704723293825E-09   2.49999027654849E-08   2.01351111355035E-07   1.00000000068550E-03  -7.91179130899368E+00  -5.33157403165142E+00  -1.36730122620014E+00  -1.77211327129254E+00  -2.15249633969145E+00  -1.97260486812236E+00  -1.00871196551215E+00  -3.32532068720750E+00  -9.14867401011087E+00  -1.82531084934979E+01  -1.39050613053135E+01  -8.08188405653339E+00  -7.60206157489981E+00  -6.69604587598042E+00  -2.99999995804202E+00  -1.14666368087493E+01  -7.08534822540916E+00  -9.51371986195865E+00  -5.01430423141508E+00  -5.34402063471662E+00  -2.24374046355563E+00  -5.19722117886290E+00  -3.39893308766338E+00  -1.09815258958269E+01  -1.58698975323924E+01  -1.10104819018357E+01  -9.99019830517915E+00  -1.37125361052369E+01  -9.29991813393264E+00  -1.04998984546925E+01  -2.87694617692255E+01  -4.06228205930423E+01  -1.50723749073038E+01  -1.84587416209663E+01  -4.40673556350617E+00  -6.07934771051453E+00  -9.35647696691271E+00  -4.74706133653987E+00  -5.31677773977379E+00  -2.10649756854858E+00  -9.54433718529519E+00  -4.93492155482109E+00  -5.59417064401895E+00  -2.22389047275367E+00  -7.79106074701682E+00  -5.86095157010889E+00
  3.80004E+00                8.00051884017279E+00   4.48716800985151E-04   4.61188052001909E-04   6.24653094886841E-02   1.69000000139096E-02   1.27582188008269E-02   1.85000000152264E-02   1.04000000085597E-01   5.12000000421401E-04   2.49394808117893E-09   5.58324256208465E-19   1.17294732643414E-14   8.75261950002218E-09   2.49996733091797E-08   2.01351111220273E-07   1.00000000082305E-03  -7.91179289524508E+00  -5.33157401935517E+00  -1.36730121371116E+00  -1.77211327190450E+00  -2.15249634856118E+00  -1.97260486968949E+00  -1.00871196580081E+00  -3.32532068793278E+00  -8.88708475937483E+00  -1.82531132504863E+01  -1.39593151133957E+01  -8.10902430848656E+00  -7.60206556099784E+00  -6.69604587627108E+00  -2.99999995798229E+00  -1.14937786477647E+01  -7.08534664889370E+00  -9.54086012423229E+00  -5.01430581738150E+00  -5.34402063494787E+00  -2.24374046378045E+00  -5.19722434157108E+00  -3.39893466328211E+00  -1.07199350597057E+01  -1.56354485350603E+01  -1.07488942281964E+01  -9.72860904580463E+00  -1.34509468334079E+01  -9.03832887455169E+00  -1.02383092061805E+01  -2.86163801374051E+01  -4.05239927691310E+01  -1.51266303025481E+01  -1.85129938413699E+01  -4.40673555397761E+00  -6.07934612659173E+00  -9.38361722176919E+00  -4.74706291508912E+00  -5.31677773258788E+00  -2.10649756135624E+00  -9.57147743861841E+00  -4.93492313183709E+00  -5.59417063392613E+00  -2.22389046265442E+00  -7.79106232256771E+00  -5.86094998317307E+00
  5.08971E+00                8.00051992985231E+00   4.48715638572301E-04   4.61186991507085E-04   6.24653108079147E-02   1.69000000155793E-02   1.27582186673097E-02   1.85000000170542E-02   1.04000000095872E-01   5.12000000471985E-04   3.26911010748283E-09   5.58320055882218E-19   1.07160978532602E-14   8.36579230676885E-09   2.49994267299361E-08   2.01351111117461E-07   1.00000000092185E-03  -7.91179398479071E+00  -5.33157401084017E+00  -1.36730120504581E+00  -1.77211327232301E+00  -2.15249635438594E+00  -1.97260487064675E+00  -1.00871196599045E+00  -3.32532068841896E+00  -8.76954262200812E+00  -1.82531165177371E+01  -1.39985568824387E+01  -8.12865528158212E+00  -7.60206984459507E+00  -6.69604587649284E+00  -2.99999995793938E+00  -1.15134107110424E+01  -7.08534556585280E+00  -9.56049110429142E+00  -5.01430690670291E+00  -5.34402063512890E+00  -2.24374046395736E+00  -5.19722651411104E+00  -3.39893574561860E+00  -1.06023918334733E+01  -1.55375373719279E+01  -1.06313531743263E+01  -9.61106690279419E+00  -1.33334046817581E+01  -8.92078673153714E+00  -1.01207670704977E+01  -2.85773215402841E+01  -4.05241759409173E+01  -1.51658731618517E+01  -1.85522345197469E+01  -4.40673554755296E+00  -6.07934503860110E+00  -9.40324819687089E+00  -4.74706399945310E+00  -5.31677772781148E+00  -2.10649755657573E+00  -9.59110841275250E+00  -4.93492421523346E+00  -5.59417062710383E+00  -2.22389045582800E+00  -7.79106340485188E+00  -5.86094889309021E+00
